Tenacity at Break (Standard),"0.22267",N/tex
Tensile extension at Break (Standard),"70.45257",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"13.00000","12.97954","1.02337","0.40561","0.14213","1.02337","12.97954"
"13.10000","13.07951","1.01636","0.40873","0.14116","1.01636","13.07951"
"13.20000","13.17939","0.96936","0.41186","0.13463","0.96936","13.17939"
"13.30000","13.27934","1.02014","0.41498","0.14169","1.02014","13.27934"
"13.40000","13.37953","1.05872","0.41811","0.14704","1.05872","13.37953"
"13.50000","13.47955","1.03896","0.42124","0.14430","1.03896","13.47955"
"13.60000","13.57933","1.04865","0.42435","0.14565","1.04865","13.57933"
"13.70000","13.67937","1.03302","0.42748","0.14347","1.03302","13.67937"
"13.80000","13.77951","1.00849","0.43061","0.14007","1.00849","13.77951"
"13.90000","13.87946","1.05757","0.43373","0.14689","1.05757","13.87946"
"14.00000","13.97939","1.03298","0.43686","0.14347","1.03298","13.97939"
"14.10000","14.07942","1.07012","0.43998","0.14863","1.07012","14.07942"
"14.20000","14.17952","1.05778","0.44311","0.14691","1.05778","14.17952"
"14.30000","14.27951","1.12601","0.44623","0.15639","1.12601","14.27951"
"14.40000","14.37939","1.04835","0.44936","0.14560","1.04835","14.37939"
"14.50000","14.47938","1.08728","0.45248","0.15101","1.08728","14.47938"
"14.60000","14.57950","1.08593","0.45561","0.15082","1.08593","14.57950"
"14.70000","14.67949","1.09238","0.45873","0.15172","1.09238","14.67949"
"14.80000","14.77942","1.13475","0.46186","0.15760","1.13475","14.77942"
"14.90000","14.87940","1.13764","0.46498","0.15801","1.13764","14.87940"
"15.00000","14.97951","1.14014","0.46811","0.15835","1.14014","14.97951"
"15.10000","15.07951","1.13821","0.47123","0.15808","1.13821","15.07951"
"15.20000","15.17941","1.14432","0.47436","0.15893","1.14432","15.17941"
"15.30000","15.27938","1.15929","0.47748","0.16101","1.15929","15.27938"
"15.40000","15.37949","1.13542","0.48061","0.15770","1.13542","15.37949"
"15.50000","15.47953","1.08569","0.48374","0.15079","1.08569","15.47953"
"15.60000","15.57934","1.22583","0.48685","0.17025","1.22583","15.57934"
"15.70000","15.67936","1.18624","0.48998","0.16476","1.18624","15.67936"
"15.80000","15.77952","1.14944","0.49311","0.15964","1.14944","15.77952"
"15.90000","15.87954","1.21292","0.49624","0.16846","1.21292","15.87954"
"16.00000","15.97936","1.23130","0.49935","0.17101","1.23130","15.97936"
"16.10000","16.07931","1.26169","0.50248","0.17523","1.26169","16.07931"
"16.20000","16.17950","1.25289","0.50561","0.17401","1.25289","16.17950"
"16.30000","16.27944","1.16770","0.50873","0.16218","1.16770","16.27944"
"16.40000","16.37937","1.19388","0.51186","0.16582","1.19388","16.37937"
"16.50000","16.47940","1.25605","0.51498","0.17445","1.25605","16.47940"
"16.60000","16.57950","1.24518","0.51811","0.17294","1.24518","16.57950"
"16.70000","16.67952","1.21572","0.52123","0.16885","1.21572","16.67952"
"16.80000","16.77940","1.22706","0.52436","0.17043","1.22706","16.77940"
"16.90000","16.87936","1.26893","0.52748","0.17624","1.26893","16.87936"
"17.00000","16.97944","1.29642","0.53061","0.18006","1.29642","16.97944"
"17.10000","17.07946","1.34919","0.53373","0.18739","1.34919","17.07946"
"17.20000","17.17939","1.28822","0.53686","0.17892","1.28822","17.17939"
"17.30000","17.27937","1.25478","0.53998","0.17428","1.25478","17.27937"
"17.40000","17.37951","1.29106","0.54311","0.17931","1.29106","17.37951"
"17.50000","17.47956","1.33411","0.54624","0.18529","1.33411","17.47956"
"17.60000","17.57939","1.25744","0.54936","0.17464","1.25744","17.57939"
"17.70000","17.67940","1.33078","0.55248","0.18483","1.33078","17.67940"
"17.80000","17.77951","1.35494","0.55561","0.18819","1.35494","17.77951"
"17.90000","17.87954","1.34991","0.55874","0.18749","1.34991","17.87954"
"18.00000","17.97938","1.27772","0.56186","0.17746","1.27772","17.97938"
"18.10000","18.07936","1.37413","0.56498","0.19085","1.37413","18.07936"
"18.20000","18.17953","1.34523","0.56811","0.18684","1.34523","18.17953"
"18.30000","18.27953","1.37226","0.57124","0.19059","1.37226","18.27953"
"18.40000","18.37938","1.38849","0.57436","0.19285","1.38849","18.37938"
"18.50000","18.47940","1.42276","0.57748","0.19761","1.42276","18.47940"
"18.60000","18.57952","1.37035","0.58061","0.19033","1.37035","18.57952"
"18.70000","18.67948","1.38932","0.58373","0.19296","1.38932","18.67948"
"18.80000","18.77940","1.48687","0.58686","0.20651","1.48687","18.77940"
"18.90000","18.87945","1.41284","0.58998","0.19623","1.41284","18.87945"
"19.00000","18.97949","1.38317","0.59311","0.19211","1.38317","18.97949"
"19.10000","19.07950","1.48881","0.59623","0.20678","1.48881","19.07950"
"19.20000","19.17943","1.41566","0.59936","0.19662","1.41566","19.17943"
"19.30000","19.27940","1.43478","0.60248","0.19928","1.43478","19.27940"
"19.40000","19.37948","1.48287","0.60561","0.20595","1.48287","19.37948"
"19.50000","19.47953","1.46813","0.60874","0.20391","1.46813","19.47953"
"19.60000","19.57943","1.44701","0.61186","0.20097","1.44701","19.57943"
"19.70000","19.67942","1.50518","0.61498","0.20905","1.50518","19.67942"
"19.80000","19.77954","1.49968","0.61811","0.20829","1.49968","19.77954"
"19.90000","19.87957","1.46383","0.62124","0.20331","1.46383","19.87957"
"20.00000","19.97935","1.55930","0.62435","0.21657","1.55930","19.97935"
"20.10000","20.07936","1.55383","0.62748","0.21581","1.55383","20.07936"
"20.20000","20.17956","1.46027","0.63061","0.20282","1.46027","20.17956"
"20.30000","20.27958","1.49703","0.63374","0.20792","1.49703","20.27958"
"20.40000","20.37946","1.61973","0.63686","0.22496","1.61973","20.37946"
"20.50000","20.47939","1.48651","0.63998","0.20646","1.48651","20.47939"
"20.60000","20.57953","1.53844","0.64311","0.21367","1.53844","20.57953"
"20.70000","20.67954","1.56584","0.64624","0.21748","1.56584","20.67954"
"20.80000","20.77944","1.55602","0.64936","0.21611","1.55602","20.77944"
"20.90000","20.87944","1.59547","0.65248","0.22159","1.59547","20.87944"
"21.00000","20.97958","1.53176","0.65561","0.21274","1.53176","20.97958"
"21.10000","21.07957","1.63204","0.65874","0.22667","1.63204","21.07957"
"21.20000","21.17952","1.62557","0.66186","0.22577","1.62557","21.17952"
"21.30000","21.27947","1.53019","0.66498","0.21253","1.53019","21.27947"
"21.40000","21.37953","1.61864","0.66811","0.22481","1.61864","21.37953"
"21.50000","21.47958","1.61443","0.67124","0.22423","1.61443","21.47958"
"21.60000","21.57949","1.66127","0.67436","0.23073","1.66127","21.57949"
"21.70000","21.67941","1.65162","0.67748","0.22939","1.65162","21.67941"
"21.80000","21.77949","1.59861","0.68061","0.22203","1.59861","21.77949"
"21.90000","21.87959","1.64913","0.68374","0.22905","1.64913","21.87959"
"22.00000","21.97947","1.67580","0.68686","0.23275","1.67580","21.97947"
"22.10000","22.07941","1.72775","0.68998","0.23997","1.72775","22.07941"
"22.20000","22.17954","1.70820","0.69311","0.23725","1.70820","22.17954"
"22.30000","22.27959","1.71061","0.69624","0.23758","1.71061","22.27959"
"22.40000","22.37949","1.75764","0.69936","0.24412","1.75764","22.37949"
"22.50000","22.47941","1.69049","0.70248","0.23479","1.69049","22.47941"
"22.60000","22.57956","1.69389","0.70561","0.23526","1.69389","22.57956"
"22.70000","22.67962","1.74784","0.70874","0.24276","1.74784","22.67962"
"22.80000","22.77949","1.77677","0.71186","0.24677","1.77677","22.77949"
"22.90000","22.87946","1.69403","0.71498","0.23528","1.69403","22.87946"
"23.00000","22.97962","1.76949","0.71811","0.24576","1.76949","22.97962"
"23.10000","23.07961","1.77787","0.72124","0.24693","1.77787","23.07961"
"23.20000","23.17950","1.76438","0.72436","0.24505","1.76438","23.17950"
"23.30000","23.27948","1.72441","0.72748","0.23950","1.72441","23.27948"
"23.40000","23.37955","1.75058","0.73061","0.24314","1.75058","23.37955"
"23.50000","23.47960","1.73666","0.73374","0.24120","1.73666","23.47960"
"23.60000","23.57953","1.78250","0.73686","0.24757","1.78250","23.57953"
"23.70000","23.67949","1.86870","0.73998","0.25954","1.86870","23.67949"
"23.80000","23.77956","1.84320","0.74311","0.25600","1.84320","23.77956"
"23.90000","23.87960","1.78366","0.74624","0.24773","1.78366","23.87960"
"24.00000","23.97955","1.91285","0.74936","0.26567","1.91285","23.97955"
"24.10000","24.07944","1.86526","0.75248","0.25906","1.86526","24.07944"
"24.20000","24.17953","1.82153","0.75561","0.25299","1.82153","24.17953"
"24.30000","24.27964","1.91284","0.75874","0.26567","1.91284","24.27964"
"24.40000","24.37951","1.91627","0.76186","0.26615","1.91627","24.37951"
"24.50000","24.47952","1.88721","0.76498","0.26211","1.88721","24.47952"
"24.60000","24.57955","1.92978","0.76811","0.26802","1.92978","24.57955"
"24.70000","24.67966","1.93346","0.77124","0.26854","1.93346","24.67966"
"24.80000","24.77955","1.86721","0.77436","0.25933","1.86721","24.77955"
"24.90000","24.87947","1.90729","0.77748","0.26490","1.90729","24.87947"
"25.00000","24.97957","1.94257","0.78061","0.26980","1.94257","24.97957"
"25.10000","25.07961","1.91670","0.78374","0.26621","1.91670","25.07961"
"25.20000","25.17951","1.95705","0.78686","0.27181","1.95705","25.17951"
"25.30000","25.27952","1.98982","0.78998","0.27636","1.98982","25.27952"
"25.40000","25.37962","2.02228","0.79311","0.28087","2.02228","25.37962"
"25.50000","25.47958","1.92582","0.79624","0.26748","1.92582","25.47958"
"25.60000","25.57952","1.97888","0.79936","0.27484","1.97888","25.57952"
"25.70000","25.67950","2.07365","0.80248","0.28801","2.07365","25.67950"
"25.80000","25.77953","1.96154","0.80561","0.27244","1.96154","25.77953"
"25.90000","25.87967","2.02707","0.80874","0.28154","2.02707","25.87967"
"26.00000","25.97962","2.11767","0.81186","0.29412","2.11767","25.97962"
"26.10000","26.07949","2.05512","0.81498","0.28543","2.05512","26.07949"
"26.20000","26.17959","2.01548","0.81811","0.27993","2.01548","26.17959"
"26.30000","26.27963","2.09892","0.82124","0.29152","2.09892","26.27963"
"26.40000","26.37955","2.05609","0.82436","0.28557","2.05609","26.37955"
"26.50000","26.47951","2.09729","0.82748","0.29129","2.09729","26.47951"
"26.60000","26.57954","2.04098","0.83061","0.28347","2.04098","26.57954"
"26.70000","26.67965","2.13114","0.83374","0.29599","2.13114","26.67965"
"26.80000","26.77955","2.11429","0.83686","0.29365","2.11429","26.77955"
"26.90000","26.87948","2.11091","0.83998","0.29318","2.11091","26.87948"
"27.00000","26.97955","2.14596","0.84311","0.29805","2.14596","26.97955"
"27.10000","27.07969","2.12731","0.84624","0.29546","2.12731","27.07969"
"27.20000","27.17957","2.21144","0.84936","0.30714","2.21144","27.17957"
"27.30000","27.27947","2.22594","0.85248","0.30916","2.22594","27.27947"
"27.40000","27.37962","2.17977","0.85561","0.30275","2.17977","27.37962"
"27.50000","27.47963","2.11310","0.85874","0.29349","2.11310","27.47963"
"27.60000","27.57948","2.21553","0.86186","0.30771","2.21553","27.57948"
"27.70000","27.67950","2.23363","0.86498","0.31023","2.23363","27.67950"
"27.80000","27.77958","2.21785","0.86811","0.30803","2.21785","27.77958"
"27.90000","27.87962","2.28422","0.87124","0.31725","2.28422","27.87962"
"28.00000","27.97954","2.22507","0.87436","0.30904","2.22507","27.97954"
"28.10000","28.07951","2.20101","0.87748","0.30570","2.20101","28.07951"
"28.20000","28.17953","2.26153","0.88061","0.31410","2.26153","28.17953"
"28.30000","28.27965","2.27959","0.88374","0.31661","2.27959","28.27965"
"28.40000","28.37958","2.31290","0.88686","0.32124","2.31290","28.37958"
"28.50000","28.47936","2.26573","0.88998","0.31468","2.26573","28.47936"
"28.60000","28.57953","2.32012","0.89311","0.32224","2.32012","28.57953"
"28.70000","28.67962","2.30664","0.89624","0.32037","2.30664","28.67962"
"28.80000","28.77951","2.39435","0.89936","0.33255","2.39435","28.77951"
"28.90000","28.87955","2.35438","0.90249","0.32700","2.35438","28.87955"
"29.00000","28.97952","2.33170","0.90561","0.32385","2.33170","28.97952"
"29.10000","29.07962","2.35479","0.90874","0.32705","2.35479","29.07962"
"29.20000","29.17957","2.35383","0.91186","0.32692","2.35383","29.17957"
"29.30000","29.27948","2.41560","0.91498","0.33550","2.41560","29.27948"
"29.40000","29.37955","2.43353","0.91811","0.33799","2.43353","29.37955"
"29.50000","29.47963","2.40080","0.92124","0.33345","2.40080","29.47963"
"29.60000","29.57957","2.40954","0.92436","0.33466","2.40954","29.57957"
"29.70000","29.67948","2.38886","0.92748","0.33179","2.38886","29.67948"
"29.80000","29.77955","2.44513","0.93061","0.33960","2.44513","29.77955"
"29.90000","29.87961","2.40164","0.93374","0.33356","2.40164","29.87961"
"30.00000","29.97952","2.49457","0.93686","0.34647","2.49457","29.97952"
"30.10000","30.07947","2.45707","0.93998","0.34126","2.45707","30.07947"
"30.20000","30.17956","2.50293","0.94311","0.34763","2.50293","30.17956"
"30.30000","30.27955","2.53242","0.94624","0.35173","2.53242","30.27955"
"30.40000","30.37954","2.50463","0.94936","0.34787","2.50463","30.37954"
"30.50000","30.47945","2.43165","0.95248","0.33773","2.43165","30.47945"
"30.60000","30.57943","2.50726","0.95561","0.34823","2.50726","30.57943"
"30.70000","30.67962","2.51525","0.95874","0.34934","2.51525","30.67962"
"30.80000","30.77957","2.48669","0.96186","0.34537","2.48669","30.77957"
"30.90000","30.87946","2.60874","0.96498","0.36232","2.60874","30.87946"
"31.00000","30.97950","2.55557","0.96811","0.35494","2.55557","30.97950"
"31.10000","31.07961","2.57330","0.97124","0.35740","2.57330","31.07961"
"31.20000","31.17953","2.52216","0.97436","0.35030","2.52216","31.17953"
"31.30000","31.27944","2.58656","0.97748","0.35924","2.58656","31.27944"
"31.40000","31.37946","2.55200","0.98061","0.35444","2.55200","31.37946"
"31.50000","31.47958","2.59320","0.98374","0.36017","2.59320","31.47958"
"31.60000","31.57955","2.69108","0.98686","0.37376","2.69108","31.57955"
"31.70000","31.67945","2.53317","0.98998","0.35183","2.53317","31.67945"
"31.80000","31.77950","2.57733","0.99311","0.35796","2.57733","31.77950"
"31.90000","31.87963","2.70173","0.99624","0.37524","2.70173","31.87963"
"32.00000","31.97951","2.69439","0.99936","0.37422","2.69439","31.97951"
"32.10000","32.07938","2.69419","1.00248","0.37419","2.69419","32.07938"
"32.20000","32.17947","2.69442","1.00561","0.37423","2.69442","32.17947"
"32.30000","32.27957","2.69912","1.00874","0.37488","2.69912","32.27957"
"32.40000","32.37949","2.66372","1.01186","0.36996","2.66372","32.37949"
"32.50000","32.47946","2.71828","1.01498","0.37754","2.71828","32.47946"
"32.60000","32.57949","2.70506","1.01811","0.37570","2.70506","32.57949"
"32.70000","32.67953","2.65314","1.02124","0.36849","2.65314","32.67953"
"32.80000","32.77955","2.70446","1.02436","0.37562","2.70446","32.77955"
"32.90000","32.87943","2.72034","1.02748","0.37783","2.72034","32.87943"
"33.00000","32.97943","2.74862","1.03061","0.38175","2.74862","32.97943"
"33.10000","33.07958","2.78077","1.03374","0.38622","2.78077","33.07958"
"33.20000","33.17956","2.79273","1.03686","0.38788","2.79273","33.17956"
"33.30000","33.27940","2.80765","1.03998","0.38995","2.80765","33.27940"
"33.40000","33.37943","2.82937","1.04311","0.39297","2.82937","33.37943"
"33.50000","33.47958","2.85103","1.04624","0.39598","2.85103","33.47958"
"33.60000","33.57948","2.79726","1.04936","0.38851","2.79726","33.57948"
"33.70000","33.67937","2.83419","1.05248","0.39364","2.83419","33.67937"
"33.80000","33.77942","2.83566","1.05561","0.39384","2.83566","33.77942"
"33.90000","33.87953","2.84573","1.05874","0.39524","2.84573","33.87953"
"34.00000","33.97950","2.86445","1.06186","0.39784","2.86445","33.97950"
"34.10000","34.07937","2.85445","1.06498","0.39645","2.85445","34.07937"
"34.20000","34.17944","2.85060","1.06811","0.39592","2.85060","34.17944"
"34.30000","34.27958","2.87179","1.07124","0.39886","2.87179","34.27958"
"34.40000","34.37951","2.85014","1.07436","0.39585","2.85014","34.37951"
"34.50000","34.47942","2.94562","1.07748","0.40911","2.94562","34.47942"
"34.60000","34.57944","2.87019","1.08061","0.39864","2.87019","34.57944"
"34.70000","34.67953","2.89073","1.08374","0.40149","2.89073","34.67953"
"34.80000","34.77949","3.02877","1.08686","0.42066","3.02877","34.77949"
"34.90000","34.87939","2.92655","1.08998","0.40647","2.92655","34.87939"
"35.00000","34.97943","2.97044","1.09311","0.41256","2.97044","34.97943"
"35.10000","35.07949","3.03116","1.09623","0.42100","3.03116","35.07949"
"35.20000","35.17952","3.03925","1.09936","0.42212","3.03925","35.17952"
"35.30000","35.27939","2.96826","1.10248","0.41226","2.96826","35.27939"
"35.40000","35.37936","2.99714","1.10561","0.41627","2.99714","35.37936"
"35.50000","35.47956","3.08929","1.10874","0.42907","3.08929","35.47956"
"35.60000","35.57950","2.97575","1.11186","0.41330","2.97575","35.57950"
"35.70000","35.67939","3.06186","1.11498","0.42526","3.06186","35.67939"
"35.80000","35.77937","3.08827","1.11811","0.42893","3.08827","35.77937"
"35.90000","35.87954","3.03793","1.12124","0.42193","3.03793","35.87954"
"36.00000","35.97948","3.01863","1.12436","0.41925","3.01863","35.97948"
"36.10000","36.07936","3.06514","1.12748","0.42571","3.06514","36.07936"
"36.20000","36.17942","3.10843","1.13061","0.43173","3.10843","36.17942"
"36.30000","36.27950","3.05688","1.13373","0.42457","3.05688","36.27950"
"36.40000","36.37951","3.13029","1.13686","0.43476","3.13029","36.37951"
"36.50000","36.47938","3.18477","1.13998","0.44233","3.18477","36.47938"
"36.60000","36.57945","3.21891","1.14311","0.44707","3.21891","36.57945"
