Tenacity at Break (Standard),"0.23566",N/tex
Tensile extension at Break (Standard),"74.01347",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"20.00000","19.97960","0.73237","0.62436","0.12206","0.73237","19.97960"
"20.10000","20.07944","0.75340","0.62748","0.12557","0.75340","20.07944"
"20.20000","20.17944","0.69809","0.63061","0.11635","0.69809","20.17944"
"20.30000","20.27957","0.72561","0.63374","0.12094","0.72561","20.27957"
"20.40000","20.37956","0.75143","0.63686","0.12524","0.75143","20.37956"
"20.50000","20.47941","0.77045","0.63998","0.12841","0.77045","20.47941"
"20.60000","20.57945","0.78472","0.64311","0.13079","0.78472","20.57945"
"20.70000","20.67955","0.71892","0.64624","0.11982","0.71892","20.67955"
"20.80000","20.77957","0.73083","0.64936","0.12180","0.73083","20.77957"
"20.90000","20.87950","0.76558","0.65248","0.12760","0.76558","20.87950"
"21.00000","20.97952","0.71285","0.65561","0.11881","0.71285","20.97952"
"21.10000","21.07950","0.79396","0.65873","0.13233","0.79396","21.07950"
"21.20000","21.17963","0.75292","0.66186","0.12549","0.75292","21.17963"
"21.30000","21.27950","0.80495","0.66498","0.13416","0.80495","21.27950"
"21.40000","21.37940","0.78441","0.66811","0.13073","0.78441","21.37940"
"21.50000","21.47952","0.76273","0.67123","0.12712","0.76273","21.47952"
"21.60000","21.57961","0.84111","0.67436","0.14019","0.84111","21.57961"
"21.70000","21.67950","0.81832","0.67748","0.13639","0.81832","21.67950"
"21.80000","21.77942","0.80536","0.68061","0.13423","0.80536","21.77942"
"21.90000","21.87954","0.76739","0.68374","0.12790","0.76739","21.87954"
"22.00000","21.97962","0.78243","0.68686","0.13041","0.78243","21.97962"
"22.10000","22.07952","0.81548","0.68998","0.13591","0.81548","22.07952"
"22.20000","22.17947","0.76683","0.69311","0.12781","0.76683","22.17947"
"22.30000","22.27957","0.83552","0.69624","0.13925","0.83552","22.27957"
"22.40000","22.37963","0.82879","0.69936","0.13813","0.82879","22.37963"
"22.50000","22.47948","0.78169","0.70248","0.13028","0.78169","22.47948"
"22.60000","22.57947","0.83263","0.70561","0.13877","0.83263","22.57947"
"22.70000","22.67957","0.79798","0.70874","0.13300","0.79798","22.67957"
"22.80000","22.77962","0.87393","0.71186","0.14566","0.87393","22.77962"
"22.90000","22.87953","0.81306","0.71499","0.13551","0.81306","22.87953"
"23.00000","22.97951","0.77344","0.71811","0.12891","0.77344","22.97951"
"23.10000","23.07957","0.90962","0.72124","0.15160","0.90962","23.07957"
"23.20000","23.17955","0.84621","0.72436","0.14104","0.84621","23.17955"
"23.30000","23.27955","0.81757","0.72749","0.13626","0.81757","23.27955"
"23.40000","23.37947","0.89289","0.73061","0.14881","0.89289","23.37947"
"23.50000","23.47950","0.82930","0.73373","0.13822","0.82930","23.47950"
"23.60000","23.57972","0.88563","0.73687","0.14761","0.88563","23.57972"
"23.70000","23.67957","0.84400","0.73999","0.14067","0.84400","23.67957"
"23.80000","23.77952","0.85318","0.74311","0.14220","0.85318","23.77952"
"23.90000","23.87956","0.87022","0.74624","0.14504","0.87022","23.87956"
"24.00000","23.97967","0.84887","0.74936","0.14148","0.84887","23.97967"
"24.10000","24.07952","0.84275","0.75249","0.14046","0.84275","24.07952"
"24.20000","24.17944","0.85026","0.75561","0.14171","0.85026","24.17944"
"24.30000","24.27954","0.90929","0.75874","0.15155","0.90929","24.27954"
"24.40000","24.37967","0.89929","0.76186","0.14988","0.89929","24.37967"
"24.50000","24.47956","0.90767","0.76499","0.15128","0.90767","24.47956"
"24.60000","24.57952","0.92209","0.76811","0.15368","0.92209","24.57952"
"24.70000","24.67958","0.89881","0.77124","0.14980","0.89881","24.67958"
"24.80000","24.77964","0.90945","0.77436","0.15158","0.90945","24.77964"
"24.90000","24.87952","0.90347","0.77749","0.15058","0.90347","24.87952"
"25.00000","24.97944","0.94938","0.78061","0.15823","0.94938","24.97944"
"25.10000","25.07954","0.91182","0.78374","0.15197","0.91182","25.07954"
"25.20000","25.17961","0.88713","0.78686","0.14785","0.88713","25.17961"
"25.30000","25.27954","0.98621","0.78999","0.16437","0.98621","25.27954"
"25.40000","25.37954","0.89798","0.79311","0.14966","0.89798","25.37954"
"25.50000","25.47957","0.87828","0.79624","0.14638","0.87828","25.47957"
"25.60000","25.57963","0.97500","0.79936","0.16250","0.97500","25.57963"
"25.70000","25.67957","0.90464","0.80249","0.15077","0.90464","25.67957"
"25.80000","25.77951","0.98214","0.80561","0.16369","0.98214","25.77951"
"25.90000","25.87954","0.97015","0.80874","0.16169","0.97015","25.87954"
"26.00000","25.97970","0.91026","0.81187","0.15171","0.91026","25.97970"
"26.10000","26.07958","0.89201","0.81499","0.14867","0.89201","26.07958"
"26.20000","26.17948","0.95146","0.81811","0.15858","0.95146","26.17948"
"26.30000","26.27957","0.97895","0.82124","0.16316","0.97895","26.27957"
"26.40000","26.37967","0.95524","0.82436","0.15921","0.95524","26.37967"
"26.50000","26.47952","0.97529","0.82748","0.16255","0.97529","26.47952"
"26.60000","26.57945","0.95385","0.83061","0.15897","0.95385","26.57945"
"26.70000","26.67959","0.88300","0.83374","0.14717","0.88300","26.67959"
"26.80000","26.77963","1.00692","0.83686","0.16782","1.00692","26.77963"
"26.90000","26.87954","0.93591","0.83999","0.15599","0.93591","26.87954"
"27.00000","26.97946","0.91068","0.84311","0.15178","0.91068","26.97946"
"27.10000","27.07954","0.94560","0.84624","0.15760","0.94560","27.07954"
"27.20000","27.17966","1.01193","0.84936","0.16866","1.01193","27.17966"
"27.30000","27.27957","0.99084","0.85249","0.16514","0.99084","27.27957"
"27.40000","27.37951","0.97095","0.85561","0.16182","0.97095","27.37951"
"27.50000","27.47955","0.92731","0.85874","0.15455","0.92731","27.47955"
"27.60000","27.57958","0.99258","0.86186","0.16543","0.99258","27.57958"
"27.70000","27.67956","1.01686","0.86499","0.16948","1.01686","27.67956"
"27.80000","27.77950","1.04835","0.86811","0.17473","1.04835","27.77950"
"27.90000","27.87954","0.97756","0.87124","0.16293","0.97756","27.87954"
"28.00000","27.97960","1.01916","0.87436","0.16986","1.01916","27.97960"
